Symbol,Open Price ($),Close Price ($),Highest Price ($),Lowest Price ($),Date
WGMI,4.64,4.5588,4.64,4.42,2023-01-03
WGMI,4.71,5.0974,5.14,4.71,2023-01-04
WGMI,5.16,5.24,5.26,5.0,2023-01-05
WGMI,5.24,5.21,5.27,5.1,2023-01-06
WGMI,5.5,5.85,6.0999,5.5,2023-01-09
WGMI,5.9,6.28,6.32,5.82,2023-01-10
WGMI,6.28,6.16,6.37,6.14,2023-01-11
WGMI,6.51,7.47,7.5899,6.28,2023-01-12
WGMI,7.34,7.79,8.27,7.34,2023-01-13
WGMI,8.53,8.37,8.89,8.03,2023-01-17
WGMI,8.62,7.62,8.69,7.5,2023-01-18
WGMI,7.43,7.76,7.86,7.31,2023-01-19
WGMI,7.92,8.29,8.299,7.7,2023-01-20
WGMI,8.37,8.85,9.069,8.37,2023-01-23
WGMI,8.94,8.745,8.99,8.6934,2023-01-24
WGMI,8.51,8.6905,8.72,8.05,2023-01-25
WGMI,9.0,9.0,9.1484,8.804,2023-01-26
WGMI,8.91,9.18,9.35,8.855,2023-01-27
WGMI,9.14,8.57,9.489,8.54,2023-01-30
WGMI,8.76,8.88,8.96,8.7201,2023-01-31
WGMI,8.95,9.48,9.54,8.69,2023-02-01
WGMI,9.81,10.08,10.5684,9.5901,2023-02-02
WGMI,9.83,9.37,10.07,9.285,2023-02-03
WGMI,9.22,9.34,9.46,9.04,2023-02-06
WGMI,9.44,9.26,9.44,8.8901,2023-02-07
WGMI,9.0,8.88,9.4599,8.84,2023-02-08
WGMI,8.99,8.05,8.99,8.0,2023-02-09
WGMI,7.85,7.82,8.0599,7.76,2023-02-10
WGMI,7.8,7.63,7.8,7.62,2023-02-13
WGMI,7.61,8.16,8.2601,7.53,2023-02-14
WGMI,8.41,9.09,9.12,8.305,2023-02-15
WGMI,9.1,8.91,9.65,8.8599,2023-02-16
WGMI,8.88,9.06,9.06,8.65,2023-02-17
WGMI,8.96,8.49,9.0201,8.485,2023-02-21
