Symbol,Date,Cumulative Return,moving_avg_10_day,moving_avg_100_day
C:EURUSD,2024-04-19,-0.28722390812722731,-0.31200901276532422,2.5492264319223103E-2
C:EURUSD,2024-04-21,-0.31432571316543179,-0.29313107995791937,2.3585915345170676E-2
C:EURUSD,2024-04-22,-0.32266473010026314,-0.2756196966475507,2.1573036810407727E-2
C:EURUSD,2024-04-23,-0.21032270891032387,-0.25572258133993203,1.9858954640716995E-2
C:EURUSD,2024-04-24,-0.21634502544504725,-0.2451138054910505,1.7241524990817644E-2
C:EURUSD,2024-04-25,-0.1540371058640958,-0.23967024986677005,1.3574815064350076E-2
C:EURUSD,2024-04-26,-0.21541724077945038,-0.22850563159769627,1.0019273621921024E-2
C:EURUSD,2024-04-28,-0.1998989377417856,-0.21189745770434171,7.5616659257263311E-3
C:EURUSD,2024-04-29,-0.18160004197121091,-0.18729818612575463,5.3264228102475287E-3
C:EURUSD,2024-04-30,-0.29486708656286281,-0.17435006751290275,1.6388653414428943E-3
C:EURUSD,2024-05-01,-0.17557772543648753,-0.15827481754948991,-1.4626690928984231E-3
C:EURUSD,2024-05-02,-0.14824397423188568,-0.15287765115848906,-4.7194141702552274E-3
C:EURUSD,2024-05-03,-7.6672014314393896E-2,-0.14206067601262512,-7.5151938545323206E-3
C:EURUSD,2024-05-05,-8.0841522781807729E-2,-0.12468846040209555,-1.1286169105324113E-2
C:EURUSD,2024-05-06,-5.5592525810916414E-2,-0.11162436870604431,-1.5981339378661589E-2
C:EURUSD,2024-05-07,-0.10006544195409152,-8.7696912630849513E-2,-1.9411795567068103E-2
C:EURUSD,2024-05-08,-0.10724748932081274,-7.0417199360491622E-2,-2.2469315455071238E-2
C:EURUSD,2024-05-09,-0.0261767816364918,-5.0774948709523572E-2,-2.4611918167184613E-2
C:EURUSD,2024-05-10,-5.0959125010700518E-2,-2.1102959246506358E-2,-0.02695371845601283
C:EURUSD,2024-05-12,-5.5592525810916414E-2,4.2609063020325518E-3,-2.9795832148291977E-2
C:EURUSD,2024-05-13,-2.7805927329063707E-3,2.5918327336788494E-2,-3.1366300983287125E-2
C:EURUSD,2024-05-14,4.8178532277794145E-2,5.3992097262758776E-2,-3.2663432306236258E-2
C:EURUSD,2024-05-15,0.22004788031577846,8.0282366844951977E-2,-3.5103780429652016E-2
C:EURUSD,2024-05-16,0.17279713270358116,9.6983043078477493E-2,-3.7352828156913154E-2
C:EURUSD,2024-05-17,0.16098168453664402,0.10946782161130741,-3.9361702824184712E-2
C:EURUSD,2024-05-19,0.18067225730561404,0.11931227961662572,-4.3241363686987798E-2
C:EURUSD,2024-05-20,0.15565520650112011,0.13117190800573225,-4.5374018279858541E-2
C:EURUSD,2024-05-21,0.14082998069876337,0.13886202792742247,-4.7532337778244574E-2
C:EURUSD,2024-05-22,7.3888660317599705E-2,0.13267762520260717,-4.8392129400308785E-2
C:EURUSD,2024-05-23,4.2852054242266603E-2,0.1288093706251221,-5.0023416718301246E-2
C:EURUSD,2024-05-24,0.11581569115815729,0.1145178971318753,-5.1578558427874427E-2
C:EURUSD,2024-05-26,0.12507973149469762,0.10527567078002917,-5.2653497892389586E-2
C:EURUSD,2024-05-27,0.15820385306762547,9.8303479468622251E-2,-5.3182624998306151E-2
C:EURUSD,2024-05-28,0.13411458692872838,9.7979307088440493E-2,-5.3944898477113673E-2
C:EURUSD,2024-05-29,1.8066949604173713E-2,0.11701960221232426,-5.4562288733558638E-2
